id,artist,title,bpm,category,yearReleased
1,Swedish House Mafia,Don't You Worry Child,129,G,2012
2,Swedish House Mafia,Save The World Tonight,128,G,2011
3,Justin Bieber (f/Nicki Minaj),Beauty & A Beat,128,G,2012
4,Will.I.Am & Britney Spears,Scream & Shout,130,G,2012
5,Pink,Try,125,G,2012
6,Alicia Keys,Girl On Fire,128,G,2012
7,Maroon 5,Daylight,128,G,2012
8,Calvin Harris (f/Florence Welch),Sweet Nothing,128,G,2012
9,Flo Rida,I Cry,126,G,2012
10,Kesha,C'mon,126,G,2013
11,Pitbull,Don't Stop The Party,127,G,2012
12,Rihanna,Diamonds,125,G,2012
13,Kelly Clarkson,Catch My Breath,128,G,2012
14,Imagine Dragons,It's Time,128,G,2012
15,Pitbull (f/Christina Aguilera),Feel This Moment,132,G,2013
16,Ludacris (f/Usher & David Guetta),Rest Of My Life,128,G,2012
17,Nicki Minaj,Va Va Voom,127,G,2012
18,Neon Trees,Lessons In Love,128,G,2012
19,Afrojack (f/Chris Brown),As Your Friend,128,G,2013
21,Krewella,Alive,128,G,2012
22,David Guetta,She Wolf (Falling To Pieces),128,G,2012
23,Maroon 5,One More Night,126,G,2012
24,Fun,Some Nights,126,G,2012
25,Ne-Yo,Let Me Love You,125,G,2012
26,Alex Clare,Too Close,126,G,2012
27,Ellie Goulding,Lights,128,G,2012
28,Ellie Goulding,Lights,125,G,2012
29,Chris Brown,Don't Wake Me Up,128,G,2012
31,Justin Bieber,As Long As You Love Me,130,G,2012
32,David Guetta (f/Sia),Titanium,126,G,2012
33,Demi Lovato,Give Your Heart A Break,130,G,2012
34,Gotye (f/Kimbra,Somebody That I Used To Know,129,G,2012
35,Carly Rae Jepsen,Call Me Maybe,128,G,2012
36,Pink,Blow Me (One Last Kiss),125,G,2012
37,The Wanted,Glad You Came,127,G,2012
38,One Direction,What Makes You Beautiful,128,G,2012
39,Rihanna,Where Have You Been?,128,G,2012
40,Owl City & Carly Rae Jepsen,Good Time,126,G,2012
41,Katy Perry,Wide Awake,132,G,2012
42,Flo Rida (f/Sia),Wild Ones,127,G,2012
43,Flo Rida,Whistle,129,G,2012
44,Fun,We Are Young,126,G,2012
45,Nicki Minaj,Starships,125,G,2012
46,Flo Rida,Good Feeling,128,G,2011
47,Calvin Harris,Feel So Close,128,G,2012
48,Rihanna (f/Calvin Harris),We Found Love,128,G,2011
49,LMFAO,Party Rock Anthem,130,G,2011
50,Maroon 5,Pay Phone,128,G,2012
51,Calvin Harris (f/Ne-Yo),Let's Go,128,G,2012
52,David Guetta (f/Usher),Without You,128,G,2011
53,Pitbull (f/Ne-Yo & Nayer),Give Me Everything,129,G,2011
54,LMFAO,Sexy & I Know It,130,G,2012
55,Katy Perry,Part Of Me,130,G,2012
56,Usher,Scream,128,G,2012
57,Jessie J.,Domino,127,G,2011
58,Selena Gomez & The Scene,Love You Like A Love Song,126,G,2011
59,Kelly Clarkson,Stronger (What Doesn't Kill You),127,G,2011
60,David Guetta (f/Nicki Minaj),Turn Me On,128,G,2012
61,Drake (f/Rihanna),Take Care,128,G,2012
62,Katy Perry,The One That Got Away,128,G,2011
63,Train,Drive By,125,G,2012
64,Maroon 5 & Christina Aguilera,Moves Like Jagger,128,G,2012
65,Cobra Starship,You Make Me Feel,132,G,2011
66,Katy Perry,E.T.,129,G,2011
67,Enrique Iglesias (f/Ludacris),Tonight,128,G,2011
68,Nicki Minaj,Super Bass,127,G,2011
69,Katy Perry,Firework,128,G,2011
70,Rihanna,Only Girl (In The World),126,G,2010
71,Hot Chelle Rae,Tonight Tonight,125,G,2011
72,Karmin,Broken Hearted,128,G,2011
73,Katy Perry,Last Friday Night (TGIF),126,G,2011
74,Adele,Rolling In The Deep,128,G,2011
75,Adele,Rolling In The Deep,125,G,2011
76,Pitbull (f/Chris Brown),International Love,127,G,2011
77,Cee-Lo Green,Forget You,127,G,2011
78,Adele,Rumor Has It,127,G,2012
79,Usher (f/Pitbull),DJ Got Us Falling In Love,128,G,2011
80,Cher Lloyd,Want U Back,126,G,2012
81,Adele,Set Fire To The Rain,127,G,2012
82,Black Eyed Peas,Just Can't Get Enough,128,G,2011
83,Chris Brown,Yeah 3x,130,G,2011
84,Kesha,We R Who We R,128,G,2011
85,Jay Z & Kanye West,N***** In Paris,130,G,2012
86,Dev,In The Dark,125,G,2011
87,Dev,In The Dark,128,G,2011
88,Havana Brown,We Run The Night,128,G,2012
89,Bruno Mars,Just The Way You Are,129,G,2011
90,Psy,Gangnam Style,132,G,2012
91,Pink,Raise Your Glass,128,G,2011
92,Jennifer Lopez (f/Pitbull),On The Floor,130,G,2011
93,Rihanna,S&M,128,G,2011
94,Afrojack,Take Over Control,130,G,2011
95,Avicii,Levels,128,G,2011
96,Britney Spears,I Wanna Go,130,G,2011
97,Pitbull,Hey Baby (Drop It To The Floor),127,G,2011
98,Nicki Minaj,Pound The Alarm,125,G,2012
99,Chris Brown,Turn Up The Music,130,G,2012
100,David Guetta (f/Chris Brown),I Can Only Imagine,128,G,2012
101,Jeremih (f/50 Cent),Down On Me,128,G,2011
102,Alexandra Stan,Mr Saxobeat,127,G,2011
103,Martin Solveig & Dragonette,Hello,128,G,2011
104,Far East Movement,Rocketeer,128,G,2011
105,Britney Spears,Hold It Against Me,130,G,2011
106,Lil Wayne,How To Love,135,G,2011
107,Zedd,Spectrum,128,G,2012
108,Afrojack,Can't Stop Me,129,G,2012
109,Foster The People,Pumped Up Kicks,128,G,2011
110,Taio Cruz,Dynamite,128,G,2010
111,Katy Perry,Teenage Dream,128,G,2010
112,Usher (f/Lil Jon & Ludacris),Yeah,128,G,2003
113,Kesha,Tik Tok,128,G,2009
114,Usher (f/Will.I.Am),OMG,130,G,2010
115,Jay Sean,Down,132,G,2009
116,Justin Timberlake,Sexyback,128,G,2006
117,David Guetta (f/Akon),Sexy Chick,130,G,2009
118,Far East Movement,Like A G6,125,G,2009
119,Edward Maya,Stereo Love,128,G,2009
120,Jason Derulo,What'cha Say,138,G,2009
121,Kings Of Leon,Use Somebody,129,G,2008
122,Taio Cruz (f/Ludacris),Break Your Heart,127,G,2009
123,Lady Gaga,Just Dance,125,G,2008
125,Enrique Iglesias (f/Pitbull),I Like It,129,G,2010
127,Lady Gaga,Bad Romance,128,G,2009
128,Black Eyed Peas,I Gotta Feeling,128,G,2009
129,Chris Brown,Forever,128,G,2008
130,B.O.B. (f/Bruno Mars),Nothin' On You,129,G,2009
131,Lady Gaga,Poker Face,128,G,2008
132,Justin Timberlake (f/T.I.),My Love,128,G,2006
133,Jason Derulo,In My Head,128,G,2009
134,Flo Rida,Club Can't Handle Me,128,G,2010
135,Kelly Clarkson,Since U Been Gone,132,G,2004
136,Beyonce,Single Ladies (Put A Ring On It),127,G,2008
137,Train,Hey Soul Sister,125,G,2009
138,Iyaz,Replay,140,G,2009
139,Pitbull,Calle Ocho (I Know You Want Me),127,G,2009
